R_Mean,G_Mean,B_Mean,H_Mean,S_hsl_Mean,S_hsv_Mean,L_Mean,V_Mean,Lab_L_Mean,Lab_a_Mean,Lab_b_Mean,Red_Energy,Green_Energy,Blue_Energy,Gray_Energy,Hue_Energy,Sat_hsl_Energy,Sat_hsv_Energy,Light_Energy,Value_Energy,Red_Entropy,Green_Entropy,Blue_Entropy,Gray_Entropy ,Hue_Entropy,S_hsl_Entropy,S_hsv_Entropy,Light_Entropy,Value_Entropy,Red_Contrast,Green_Contrast,Blue_Contrast,Gray_Contrast,Hue_Contrast,S_hsl_Contrast,S_hsv_Contrast,Light_Contrast,Value_Contrast,Red_Homogeneity,Green_Homogeneity,Blue_Homogeneity,Gray_Homogeneity,Hue_Homogeneity,S_hsl_Homogeneity,S_hsv_Homogeneity,Light_Homogeneity,Value_Homogeneity,Red_Inverse,Green_Inverse,Blue_Inverse,Gray_Inverse,Hue_Inverse,S_hsl_Inverse,S_hsv_Inverse,Light_Inverse,Value_Inverse,Red_Correlation,Green_Correlation,Blue_Correlation,Gray_Correlation,Hue_Correlation,S_hsl_Correlation,S_hsv_Correlation,Light_Correlation,Value_Correlation,Red_SumMean,Green_SumMean,Blue_SumMean,Gray_SumMean,Hue_SumMean,S_hsl_SumMean,S_hsv_SumMean,Light_SumMean,Value_SumMean,Red_Variance,Green_Variance,Blue_Variance,Gray_Variance,Hue_Variance,S_hsl_Variance,S_hsv_Variance,Light_Variance,Value_Variance,Red_Cluster,Green_Cluster,Blue_Cluster,Gray_Cluster,Hue_Clustere,S_hsl_Cluster,S_hsv_Cluster,Light_Cluster,Value_Cluster,Red_MaxProb,Green_MaxProb,Blue_MaxProb,Gray_MaxProb,Hue_MaxProb,S_hsl_MaxProb,S_hsv_MaxProb,Light_MaxProb,Value_MaxProb,Purity
178,75,61,25.12357244,0.490519183,0.54833337,0.468488149,0.699499367,51.39882125,30.84203395,33.95437539,0.000269443,0.000295855,0.000327976,0.000295613,0.004417615,0.000630316,0.000458075,0.000326819,0.000379349,3.976734347,3.905203631,3.828234088,3.907320642,2.672946927,3.490997768,3.647780557,3.866646444,3.768469674,401.8596957,354.5186304,308.7714057,352.25825,288.8545385,170.3613324,214.8007024,337.4769765,399.6847645,0.15547724,0.158841928,0.164333267,0.160619999,0.305456866,0.203120975,0.177387183,0.162644678,0.157605292,0.088032522,0.090491909,0.095057481,0.092751093,0.260672615,0.133114309,0.10647465,0.09301786,0.084648414,81513619.99,52936507.22,32859208.63,47565385.5,511614.2209,16012552.36,19559693.86,36417398.91,48258369.52,137.642653,119.374889,96.64363498,121.8554269,27.78280452,52.93859864,75.84787656,116.6840142,137.3074881,1407.141097,1158.47044,896.6715838,1049.783977,247.8250917,848.7230239,834.871971,967.2282113,1398.615542,5226.704691,4279.36313,3277.91493,3846.877656,702.4458284,3224.530763,3124.687181,3531.435869,5194.777403,0.011332418,0.011335723,0.011347159,0.011431239,0.012615703,0.011427003,0.01137487,0.011764133,0.011391465,VL
179,74,59,25.34049085,0.497248113,0.554778714,0.467973744,0.702920271,51.35383559,31.5592638,34.46183991,0.000273735,0.000299405,0.000328311,0.000299006,0.003977211,0.000634541,0.000447094,0.000333318,0.000387931,3.96638708,3.897354606,3.826479619,3.899254184,2.714402741,3.482331704,3.660866014,3.858635681,3.756923614,396.8960793,349.8724712,305.3260643,345.0601538,326.0374877,174.584627,224.546153,330.6308459,393.5851975,0.156549191,0.160015535,0.164339353,0.161643373,0.294655988,0.201485852,0.173313181,0.163643881,0.158886736,0.08941242,0.092600072,0.096190196,0.093502301,0.246034478,0.132524535,0.10253467,0.094757182,0.086304932,75062906.93,49597564.16,32010786.18,44283010.61,604134.7582,15409088.75,20065055.94,34085724.65,44683581.5,136.9281467,119.1189409,96.48285445,121.484142,28.43439647,52.16307162,75.35384202,116.2474525,136.6195958,1360.857113,1127.843917,886.2323109,1015.219086,279.2091074,839.3064526,851.4272283,938.8353297,1349.946688,5046.532374,4161.503195,3239.603179,3715.816191,790.7989417,3182.641184,3181.16276,3424.710473,5006.201556,0.011319013,0.011325356,0.011331776,0.011396687,0.011714519,0.011403696,0.01134926,0.011858354,0.011378437,VL
179,77,62,25.33643969,0.486440898,0.542609485,0.473726203,0.703018391,51.94533219,30.51623651,33.71322649,0.000261171,0.000286187,0.000310893,0.000286097,0.004237093,0.000606582,0.000438336,0.000313796,0.000367477,3.982248095,3.913985595,3.846036084,3.91650172,2.684282846,3.503464324,3.658937656,3.878773774,3.777727071,419.2942858,371.6352086,324.8229414,369.1477131,297.7098113,177.213076,219.6916877,353.6846712,415.7393331,0.153517516,0.156741152,0.160585153,0.1582592,0.296778587,0.199534098,0.173867768,0.159644618,0.155707172,0.086609475,0.089615459,0.092954729,0.091350563,0.247233334,0.1304422,0.102776386,0.091246767,0.0839426,74043993.67,49613712.56,32884242.37,44593642.83,468408.6637,16034738.46,19633571.36,34675164.43,44712421.11,139.6156335,121.5683599,98.89586854,123.9995918,27.78319116,52.38333166,74.5009087,118.7890933,139.276793,1360.317278,1139.134201,902.5700019,1030.479563,243.5233761,841.5240582,830.4487233,953.2918458,1350.388784,5021.974827,4184.901594,3285.457066,3752.770538,676.3836931,3188.883157,3102.103205,3459.482712,4985.815803,0.010906342,0.010910295,0.010912381,0.011012757,0.011368795,0.010986737,0.010941646,0.011339287,0.010960027,VL
178,79,64,25.8489577,0.474499757,0.531931313,0.475174482,0.697803769,52.13671504,29.21031119,32.91005782,0.000249532,0.000272931,0.000296587,0.000271868,0.004358499,0.000576818,0.000422612,0.000300599,0.000350234,3.999498571,3.933704725,3.869172996,3.936367164,2.671620992,3.525032895,3.674757271,3.899098456,3.797623993,455.5234735,403.5315583,354.2037763,400.5322316,287.9409251,188.5471791,231.1023107,384.6505318,451.7692245,0.150325264,0.153254508,0.15748705,0.154628518,0.301000959,0.196297918,0.172050719,0.15639145,0.152341796,0.084566719,0.086638975,0.090116785,0.088162377,0.252742224,0.126002962,0.10187589,0.089015639,0.081052748,72445863.66,49336306.04,33015090.42,44302684.29,457186.6595,16309715.26,20007984.01,34407716.85,43966348.91,140.769069,122.3409406,99.3578172,124.8456194,27.54276671,53.31982772,75.3089731,119.5970485,140.4396478,1350.368651,1142.069231,913.5678684,1033.355088,237.6966366,840.6075112,836.0696335,956.4114142,1340.370645,4945.951132,4164.745367,3300.067697,3732.88812,662.8456212,3173.882866,3113.176223,3440.995125,4909.713354,0.01061078,0.01061443,0.010620247,0.01066554,0.011809222,0.010694903,0.010644823,0.011067328,0.010663934,VL
186,70,57,23.11937144,0.531823091,0.583549414,0.475793492,0.728618207,52.05453435,34.74590667,36.66878823,0.000289124,0.000314054,0.000338961,0.000313146,0.004783173,0.000622677,0.000469642,0.000338907,0.000388155,4.009638091,3.940612041,3.872723634,3.944541535,2.627367373,3.520229798,3.666958381,3.907086511,3.807913287,523.6619002,456.9197278,394.9520252,456.4054505,269.4216262,203.7317165,240.6500013,436.806345,519.1202525,0.150069012,0.153405157,0.157468487,0.154868497,0.307379352,0.1966283,0.171943644,0.156418105,0.151983411,0.083328643,0.085901923,0.089414296,0.087948687,0.260354671,0.125358737,0.100708766,0.089064157,0.080222269,73749355.71,49465694.87,32444970.08,43263341.03,398443.2642,17459170.93,20818945.49,33262836.87,44482650.87,140.1423899,121.3913176,98.41476378,123.9951141,27.54895232,53.65889343,75.84994832,118.8140173,139.8053465,1390.01328,1168.874819,925.7960375,1040.986421,220.6682118,911.5225075,885.8653776,961.0480988,1381.467182,5036.391219,4218.579549,3308.232125,3707.540232,613.2512212,3442.358314,3302.811509,3407.38605,5006.748477,0.01253186,0.012537411,0.012543995,0.012617028,0.013006393,0.012625108,0.01256618,0.01288897,0.012593997,VL
185,72,59,23.83751285,0.520068081,0.572452953,0.477142645,0.724026914,52.22495548,33.64339893,35.92253518,0.000275782,0.000300108,0.000324437,0.000298978,0.004529308,0.000616621,0.000456545,0.000326568,0.000375854,4.001472323,3.932935918,3.866849609,3.936260907,2.654613652,3.514112994,3.664776804,3.899386123,3.79903874,482.0898419,423.5467174,371.0375814,423.1894639,288.9174985,187.0702386,227.5324727,406.651601,477.8769359,0.150861526,0.15374494,0.157827734,0.15507012,0.304749342,0.198151657,0.173165382,0.156526686,0.152771527,0.084025551,0.086365428,0.090167061,0.087815623,0.258539186,0.12757476,0.102458464,0.088003444,0.080778502,72877869.9,49285387.26,32387395.69,43396810.7,472392.1625,16880948.92,20572347.74,33354797.8,44039116.52,140.77021,122.2681788,99.28511619,124.7892157,27.76344349,53.22973366,75.18590784,119.5714596,140.450624,1367.520198,1153.669756,914.0380531,1030.629198,242.855374,882.8821989,868.6116072,950.7365468,1356.581018,4987.99095,4191.132305,3285.114631,3699.327328,682.5039973,3344.458557,3246.913956,3396.294586,4948.447138,0.011873468,0.011876313,0.011880252,0.011930753,0.012582721,0.011964365,0.011906368,0.012293304,0.011931773,VL
179,78,63,25.79207504,0.48203928,0.538838265,0.473866226,0.700534478,51.99526249,29.9529774,33.42931344,0.000258027,0.000281888,0.000307135,0.000281555,0.004507303,0.000610121,0.000444917,0.000307853,0.000360764,4.002697556,3.934308811,3.8655321,3.937106119,2.655270035,3.507849829,3.658768129,3.899483464,3.798394639,476.3380506,414.5423381,359.8653129,411.5410636,291.1798499,195.0945196,230.9311133,395.0963018,472.0250922,0.149437577,0.152995656,0.157895389,0.154368406,0.303684032,0.197545911,0.173430344,0.156041837,0.151743871,0.082736485,0.085978623,0.090333139,0.088248059,0.257207242,0.127387087,0.104603167,0.088239236,0.08089008,74282123.6,50267428.29,33071866.2,44789760.88,481825.8228,15928871.03,19471997.19,34741385.8,44437210.2,140.0534319,121.7918415,98.85538723,124.2579113,27.91868403,53.06881933,75.16550473,118.9841109,139.7310167,1369.795852,1152.625601,914.5086619,1038.353955,246.0488801,853.3337314,839.3746034,960.0119694,1359.037829,5002.845359,4195.960065,3298.169335,3741.874756,693.0156704,3218.240406,3126.5673,3444.951576,4964.126225,0.011118756,0.0111249,0.01113281,0.011219988,0.012208838,0.01120433,0.011153958,0.011516891,0.011172883,VL
180,77,62,25.23017194,0.492136684,0.547730553,0.474572751,0.706184426,52.03343074,30.83268145,34.04444621,0.000259189,0.000282484,0.000307502,0.000282718,0.004471181,0.000588404,0.000440866,0.000309274,0.000359409,4.005573812,3.938060343,3.870301313,3.940714594,2.665268676,3.526318367,3.668202623,3.903450482,3.802679854,466.0563292,411.4516542,359.8452176,410.6235751,294.969793,188.4873541,226.7160973,394.4091837,462.140663,0.151276641,0.154085194,0.158322217,0.155612279,0.303085341,0.195875648,0.17246532,0.157461315,0.153259477,0.084880036,0.08635175,0.091118248,0.088484016,0.256391298,0.124930788,0.102005143,0.08907373,0.081806643,79355215.34,52919647.01,34369666.02,47315589.15,490775.3904,16835577.81,19922115.9,36754571.14,47653366.34,140.3147611,121.8006759,98.76003225,124.3428241,27.79051833,53.71338468,75.67879342,119.0860728,139.9942815,1409.267905,1180.521938,932.4330244,1069.233546,248.7835919,864.5524222,845.4808919,988.3032024,1398.395882,5171.01529,4310.636098,3369.88688,3866.310608,700.1645748,3269.722335,3155.20747,3558.803626,5131.442867,0.011204264,0.011212388,0.011215075,0.011312323,0.012046098,0.01128915,0.011242652,0.011640043,0.011258918,VL
185,70,57,23.34653621,0.530146355,0.582430327,0.474522191,0.726507179,51.93514694,34.59558819,36.57512874,0.00028626,0.000310914,0.00033728,0.000309945,0.004660294,0.000636225,0.000471042,0.000338594,0.000388878,3.991665286,3.92228452,3.852054633,3.925832613,2.639913791,3.501823525,3.652857697,3.888007574,3.789251348,458.1716617,402.8719253,350.9733362,402.9377886,280.9058504,175.8571958,215.2970992,386.7042617,455.1742674,0.153941102,0.156660637,0.161907096,0.158094718,0.305166773,0.200646218,0.175614715,0.160093615,0.156253409,0.086521756,0.088838866,0.093359191,0.089721113,0.257206659,0.130061713,0.104721187,0.090816322,0.084108408,76022929.85,50813916.9,33197876.53,44862104.71,470879.4564,16945841.14,20440903.02,34551031.27,45880677.73,139.3676391,120.9368012,97.99754623,123.4490495,27.8658151,53.28707455,75.68533749,118.2208145,139.0407669,1390.249189,1162.270406,917.3257271,1041.314349,240.5399972,887.0777639,865.7403883,961.4795653,1380.613076,5102.825093,4246.209699,3318.329572,3762.319607,681.2541386,3372.45386,3247.664454,3459.213999,5067.278035,0.012178288,0.012179575,0.012193749,0.012253347,0.012840508,0.012268906,0.012213631,0.012597683,0.012241374,VL
182,73,59,24.31205344,0.507029909,0.561782411,0.472279729,0.712189761,51.72758947,32.5120457,35.0120086,0.000269642,0.000294069,0.000320663,0.000293835,0.004227247,0.000620836,0.00044867,0.000324208,0.000377774,3.988825243,3.921100613,3.852308295,3.923604585,2.683551368,3.50528159,3.664330649,3.88497799,3.781178747,434.906846,385.3590394,338.0384785,384.5478322,299.6105812,174.9923002,221.8898265,369.2712806,431.5663581,0.153559265,0.156677665,0.1610769,0.158140936,0.299232293,0.198757421,0.172561908,0.15996756,0.155682285,0.087153791,0.088936682,0.093098228,0.090886861,0.249840851,0.128386603,0.102208863,0.091188051,0.08387479,75765152.7,50530959.07,32831859.19,45000457.23,489569.6848,16268050.99,20032720.34,34820028.59,45020159.59,138.5831675,120.3792152,97.84741331,122.8754696,27.7092481,52.59716318,75.03163382,117.7543472,138.2664387,1375.687166,1148.212989,906.9595534,1034.767073,247.9719308,862.0449928,851.6166277,957.2396765,1365.740808,5067.841817,4207.492918,3289.799735,3754.520461,692.277142,3273.187671,3184.576684,3459.687425,5031.396874,0.011443721,0.011452837,0.011458946,0.011526795,0.011846233,0.011531129,0.011474741,0.011938174,0.011502813,VL
